freq (Hz),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz))
1.00000,4.89549E-9,4.15615E-9
1.25893,4.36036E-9,3.69557E-9
1.58489,3.89053E-9,3.29395E-9
1.99526,3.47874E-9,2.94466E-9
2.51189,3.11859E-9,2.64188E-9
3.16228,2.80444E-9,2.38045E-9
3.98107,2.53128E-9,2.15576E-9
5.01187,2.29465E-9,1.96371E-9
6.30957,2.09057E-9,1.80056E-9
7.94328,1.91547E-9,1.66292E-9
10.0000,1.76608E-9,1.54765E-9
12.5893,1.63944E-9,1.45189E-9
15.8489,1.53279E-9,1.37295E-9
19.9526,1.44361E-9,1.30840E-9
25.1189,1.36956E-9,1.25601E-9
31.6228,1.30849E-9,1.21378E-9
39.8107,1.25847E-9,1.17996E-9
50.1187,1.21774E-9,1.15302E-9
63.0957,1.18477E-9,1.13167E-9
79.4328,1.15819E-9,1.11481E-9
100.000,1.13687E-9,1.10155E-9
125.893,1.11981E-9,1.09114E-9
158.489,1.10622E-9,1.08299E-9
199.526,1.09540E-9,1.07663E-9
251.189,1.08681E-9,1.07166E-9
316.228,1.08001E-9,1.06779E-9
398.107,1.07462E-9,1.06477E-9
501.187,1.07035E-9,1.06243E-9
630.957,1.06698E-9,1.06060E-9
794.328,1.06431E-9,1.05918E-9
1.00000E3,1.06220E-9,1.05808E-9
1.25893E3,1.06054E-9,1.05722E-9
1.58489E3,1.05923E-9,1.05656E-9
1.99526E3,1.05819E-9,1.05604E-9
2.51189E3,1.05737E-9,1.05564E-9
3.16228E3,1.05672E-9,1.05533E-9
3.98107E3,1.05620E-9,1.05508E-9
5.01187E3,1.05580E-9,1.05490E-9
6.30957E3,1.05548E-9,1.05475E-9
7.94328E3,1.05523E-9,1.05464E-9
10.0000E3,1.05503E-9,1.05455E-9
12.5893E3,1.05487E-9,1.05448E-9
15.8489E3,1.05474E-9,1.05443E-9
19.9526E3,1.05464E-9,1.05439E-9
25.1189E3,1.05456E-9,1.05435E-9
31.6228E3,1.05450E-9,1.05433E-9
39.8107E3,1.05445E-9,1.05431E-9
50.1187E3,1.05441E-9,1.05430E-9
63.0957E3,1.05438E-9,1.05428E-9
79.4328E3,1.05436E-9,1.05428E-9
100.000E3,1.05434E-9,1.05427E-9
125.893E3,1.05432E-9,1.05426E-9
158.489E3,1.05431E-9,1.05426E-9
199.526E3,1.05430E-9,1.05426E-9
251.189E3,1.05429E-9,1.05425E-9
316.228E3,1.05429E-9,1.05425E-9
398.107E3,1.05428E-9,1.05425E-9
501.187E3,1.05428E-9,1.05425E-9
630.957E3,1.05428E-9,1.05425E-9
794.328E3,1.05428E-9,1.05425E-9
1.00000E6,1.05428E-9,1.05425E-9
1.25893E6,1.05428E-9,1.05425E-9
1.58489E6,1.05429E-9,1.05426E-9
1.99526E6,1.05431E-9,1.05427E-9
2.51189E6,1.05433E-9,1.05428E-9
3.16228E6,1.05438E-9,1.05430E-9
3.98107E6,1.05444E-9,1.05433E-9
5.01187E6,1.05454E-9,1.05439E-9
6.30957E6,1.05471E-9,1.05447E-9
7.94328E6,1.05497E-9,1.05460E-9
10.0000E6,1.05538E-9,1.05480E-9
12.5893E6,1.05602E-9,1.05511E-9
15.8489E6,1.05704E-9,1.05560E-9
19.9526E6,1.05864E-9,1.05637E-9
25.1189E6,1.06113E-9,1.05757E-9
31.6228E6,1.06498E-9,1.05946E-9
39.8107E6,1.07088E-9,1.06242E-9
50.1187E6,1.07976E-9,1.06707E-9
63.0957E6,1.09287E-9,1.07437E-9
79.4328E6,1.11179E-9,1.08580E-9
100.000E6,1.13855E-9,1.10366E-9
125.893E6,1.17595E-9,1.13140E-9
158.489E6,1.22820E-9,1.17410E-9
199.526E6,1.30170E-9,1.23905E-9
251.189E6,1.40566E-9,1.33625E-9
316.228E6,1.55250E-9,1.47889E-9
398.107E6,1.75823E-9,1.68381E-9
501.187E6,2.04328E-9,1.97223E-9
630.957E6,2.43395E-9,2.37113E-9
794.328E6,2.96418E-9,2.91503E-9
1.00000E9,3.67648E-9,3.64711E-9
