Rptat2 ,/R31/PLUS (A),in (V/sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz))
100.000E3,1.95025E-6,15.5173E-9,15.5173E-9
79.4328E3,2.44732E-6,13.8481E-9,13.8481E-9
63.0957E3,3.07085E-6,12.3638E-9,12.3638E-9
50.1187E3,3.85291E-6,11.0392E-9,11.0392E-9
39.8107E3,4.83356E-6,9.85715E-9,9.85712E-9
31.6228E3,6.06292E-6,8.80246E-9,8.80240E-9
25.1189E3,7.60360E-6,7.86146E-9,7.86135E-9
19.9526E3,9.53379E-6,7.02196E-9,7.02177E-9
15.8489E3,11.9511E-6,6.27309E-9,6.27275E-9
12.5893E3,14.9775E-6,5.60511E-9,5.60450E-9
10.0000E3,18.7650E-6,5.00938E-9,5.00830E-9
7.94328E3,23.5038E-6,4.47825E-9,4.47631E-9
6.30957E3,29.4317E-6,4.00498E-9,4.00152E-9
5.01187E3,36.8467E-6,3.58386E-9,3.57768E-9
3.98107E3,46.1225E-6,3.21021E-9,3.19920E-9
3.16228E3,57.7288E-6,2.88072E-9,2.86109E-9
2.51189E3,72.2565E-6,2.59389E-9,2.55895E-9
1.99526E3,90.4496E-6,2.35091E-9,2.28888E-9
1.58489E3,113.245E-6,2.15694E-9,2.04741E-9
1.25893E3,141.825E-6,2.02285E-9,1.83153E-9
1.00000E3,177.677E-6,1.96646E-9,1.63856E-9
794.328,222.678E-6,2.01161E-9,1.46614E-9
630.957,279.194E-6,2.18397E-9,1.31221E-9
501.187,350.213E-6,2.50667E-9,1.17499E-9
398.107,439.507E-6,3.00090E-9,1.05297E-9
316.228,551.850E-6,3.69169E-9,944.958E-12
251.189,693.291E-6,4.61432E-9,850.143E-12
199.526,871.515E-6,5.81924E-9,768.291E-12
158.489,1.09631E-3,7.37621E-9,700.008E-12
125.893,1.38020E-3,9.37928E-9,647.191E-12
100.000,1.73927E-3,11.9535E-9,613.583E-12
79.4328,2.19444E-3,15.2657E-9,605.196E-12
63.0957,2.79116E-3,19.6702E-9,631.314E-12
50.1187,3.94176E-3,28.3357E-9,747.967E-12
39.8107,5.53551E-3,40.6302E-9,976.194E-12
31.6228,7.23951E-3,54.0540E-9,1.25436E-9
25.1189,8.87677E-3,67.1832E-9,1.53708E-9
19.9526,10.1290E-3,77.3274E-9,1.75883E-9
15.8489,10.9755E-3,84.2398E-9,1.91091E-9
12.5893,11.5916E-3,89.2945E-9,2.02250E-9
10.0000,12.1393E-3,93.8116E-9,2.12243E-9
7.94328,12.4263E-3,96.1779E-9,2.17494E-9
6.30957,12.4400E-3,96.2723E-9,2.17724E-9
5.01187,12.3845E-3,95.7937E-9,2.16693E-9
3.98107,12.2943E-3,95.0296E-9,2.15041E-9
3.16228,12.1799E-3,94.0670E-9,2.12964E-9
2.51189,12.0852E-3,93.2715E-9,2.11271E-9
1.99526,12.0073E-3,92.6178E-9,2.09912E-9
1.58489,11.9206E-3,91.8924E-9,2.08420E-9
1.25893,11.8213E-3,91.0650E-9,2.06737E-9
1.00000,11.7077E-3,90.1191E-9,2.04839E-9
