Ic ,input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz))
1.00000E-6,21.7431E-9,21.7430E-9
1.25893E-6,19.3708E-9,19.3708E-9
1.58489E-6,17.2645E-9,17.2644E-9
1.99526E-6,15.3872E-9,15.3872E-9
2.51189E-6,13.7141E-9,13.7141E-9
3.16228E-6,12.2230E-9,12.2230E-9
3.98107E-6,10.8941E-9,10.8941E-9
5.01187E-6,9.70976E-9,9.70972E-9
6.30957E-6,8.65427E-9,8.65420E-9
7.94328E-6,7.71363E-9,7.71351E-9
10.0000E-6,6.87539E-9,6.87517E-9
12.5893E-6,6.12844E-9,6.12806E-9
15.8489E-6,5.46295E-9,5.46225E-9
19.9526E-6,4.87018E-9,4.86892E-9
25.1189E-6,4.34247E-9,4.34018E-9
31.6228E-6,3.87318E-9,3.86904E-9
39.8107E-6,3.45672E-9,3.44922E-9
50.1187E-6,3.08875E-9,3.07518E-9
63.0957E-6,2.76649E-9,2.74193E-9
79.4328E-6,2.48941E-9,2.44507E-9
100.000E-6,2.26038E-9,2.18066E-9
125.893E-6,2.08732E-9,1.94520E-9
158.489E-6,1.98501E-9,1.73557E-9
199.526E-6,1.97554E-9,1.54903E-9
251.189E-6,2.08537E-9,1.38313E-9
316.228E-6,2.33982E-9,1.23575E-9
398.107E-6,2.76061E-9,1.10506E-9
501.187E-6,3.37003E-9,989.575E-12
630.957E-6,4.19785E-9,888.170E-12
794.328E-6,5.28691E-9,800.244E-12
1.00000E-3,6.69709E-9,725.927E-12
1.25893E-3,8.50897E-9,666.439E-12
1.58489E-3,10.8284E-9,624.573E-12
1.99526E-3,13.7927E-9,605.123E-12
2.51189E-3,17.5790E-9,614.838E-12
3.16228E-3,22.4152E-9,661.486E-12
3.98107E-3,28.5947E-9,752.616E-12
5.01187E-3,36.4955E-9,895.433E-12
6.30957E-3,46.6055E-9,1.09821E-9
7.94328E-3,59.5573E-9,1.37224E-9
10.0000E-3,76.1733E-9,1.73357E-9
