temp (C),/voutdiff1 (V),/voutdiff2 (V)
0.00000,37.5535,37.5042
1.00000,37.5515,37.5050
2.00000,37.5494,37.5057
3.00000,37.5474,37.5065
4.00000,37.5455,37.5073
5.00000,37.5436,37.5081
6.00000,37.5417,37.5089
7.00000,37.5399,37.5097
8.00000,37.5382,37.5105
9.00000,37.5364,37.5113
10.0000,37.5348,37.5121
11.0000,37.5332,37.5130
12.0000,37.5316,37.5138
13.0000,37.5301,37.5147
14.0000,37.5286,37.5155
15.0000,37.5272,37.5164
16.0000,37.5258,37.5172
17.0000,37.5245,37.5181
18.0000,37.5232,37.5190
19.0000,37.5220,37.5199
20.0000,37.5208,37.5208
21.0000,37.5196,37.5217
22.0000,37.5186,37.5226
23.0000,37.5175,37.5235
24.0000,37.5165,37.5244
25.0000,37.5156,37.5253
26.0000,37.5147,37.5262
27.0000,37.5138,37.5272
28.0000,37.5130,37.5281
29.0000,37.5122,37.5291
30.0000,37.5115,37.5300
31.0000,37.5108,37.5310
32.0000,37.5102,37.5319
33.0000,37.5096,37.5329
34.0000,37.5091,37.5339
35.0000,37.5086,37.5349
36.0000,37.5082,37.5359
37.0000,37.5078,37.5369
38.0000,37.5075,37.5379
39.0000,37.5072,37.5389
40.0000,37.5069,37.5399
41.0000,37.5067,37.5409
42.0000,37.5065,37.5419
43.0000,37.5064,37.5429
44.0000,37.5064,37.5440
45.0000,37.5063,37.5450
46.0000,37.5064,37.5461
47.0000,37.5065,37.5471
48.0000,37.5066,37.5482
49.0000,37.5067,37.5492
50.0000,37.5070,37.5503
51.0000,37.5072,37.5514
52.0000,37.5075,37.5525
53.0000,37.5079,37.5535
54.0000,37.5083,37.5546
