Vbe ,/I3/C (A),/I3/B (A)
100.000E-3,1.19713E-12,30.7261E-15
102.329E-3,1.20729E-12,32.3812E-15
104.713E-3,1.21824E-12,34.1543E-15
107.152E-3,1.23011E-12,36.0557E-15
109.648E-3,1.24306E-12,38.0970E-15
112.202E-3,1.25727E-12,40.2910E-15
114.815E-3,1.27295E-12,42.6517E-15
117.490E-3,1.29035E-12,45.1950E-15
120.226E-3,1.30977E-12,47.9382E-15
123.027E-3,1.33153E-12,50.9008E-15
125.893E-3,1.35605E-12,54.1043E-15
128.825E-3,1.38378E-12,57.5730E-15
131.826E-3,1.41529E-12,61.3338E-15
134.896E-3,1.45124E-12,65.4169E-15
138.038E-3,1.49242E-12,69.8563E-15
141.254E-3,1.53976E-12,74.6899E-15
144.544E-3,1.59438E-12,79.9606E-15
147.911E-3,1.65764E-12,85.7166E-15
151.356E-3,1.73116E-12,92.0126E-15
154.882E-3,1.81690E-12,98.9103E-15
158.489E-3,1.91725E-12,106.479E-15
162.181E-3,2.03510E-12,114.800E-15
165.959E-3,2.17398E-12,123.961E-15
169.824E-3,2.33822E-12,134.068E-15
173.780E-3,2.53316E-12,145.237E-15
177.828E-3,2.76535E-12,157.604E-15
181.970E-3,3.04293E-12,171.324E-15
186.209E-3,3.37600E-12,186.576E-15
190.546E-3,3.77818E-12,203.566E-15
194.984E-3,4.26306E-12,222.533E-15
199.526E-3,4.85167E-12,243.753E-15
204.174E-3,5.56906E-12,267.550E-15
208.930E-3,6.44698E-12,294.300E-15
213.796E-3,7.52582E-12,324.442E-15
218.776E-3,8.85725E-12,358.495E-15
223.872E-3,10.5076E-12,397.069E-15
229.087E-3,12.5624E-12,440.885E-15
234.423E-3,15.1324E-12,490.801E-15
239.883E-3,18.3621E-12,547.839E-15
245.471E-3,22.4400E-12,613.223E-15
251.189E-3,27.6144E-12,688.426E-15
257.040E-3,34.2130E-12,775.229E-15
263.027E-3,42.6711E-12,875.796E-15
269.153E-3,53.5698E-12,992.772E-15
275.423E-3,67.6888E-12,1.12941E-12
281.838E-3,86.0805E-12,1.28973E-12
288.403E-3,110.173E-12,1.47874E-12
295.121E-3,141.916E-12,1.70273E-12
301.995E-3,183.985E-12,1.96964E-12
309.030E-3,240.077E-12,2.28960E-12
316.228E-3,315.328E-12,2.67562E-12
323.594E-3,416.921E-12,3.14459E-12
331.131E-3,554.967E-12,3.71862E-12
338.844E-3,743.790E-12,4.42697E-12
346.737E-3,1.00382E-9,5.30876E-12
354.813E-3,1.36439E-9,6.41684E-12
363.078E-3,1.86793E-9,7.82348E-12
371.535E-3,2.57624E-9,9.62855E-12
380.189E-3,3.58002E-9,11.9718E-12
389.045E-3,5.01335E-9,15.0509E-12
398.107E-3,7.07601E-9,19.1493E-12
407.380E-3,10.0680E-9,24.6776E-12
416.869E-3,14.4434E-9,32.2386E-12
426.580E-3,20.8953E-9,42.7271E-12
436.516E-3,30.4908E-9,57.4883E-12
446.684E-3,44.8860E-9,78.5675E-12
457.088E-3,66.6755E-9,109.112E-12
467.735E-3,99.9594E-9,154.021E-12
478.630E-3,151.278E-9,221.012E-12
489.779E-3,231.164E-9,322.377E-12
501.187E-3,356.740E-9,477.930E-12
512.861E-3,556.121E-9,719.968E-12
524.807E-3,875.943E-9,1.10175E-9
537.032E-3,1.39436E-6,1.71213E-9
549.541E-3,2.24375E-6,2.70104E-9
562.341E-3,3.65074E-6,4.32446E-9
575.440E-3,6.00768E-6,7.02467E-9
588.844E-3,10.0015E-6,11.5749E-9
602.560E-3,16.8488E-6,19.3433E-9
616.595E-3,28.7299E-6,32.7808E-9
630.957E-3,49.5996E-6,56.3327E-9
645.654E-3,86.7182E-6,98.1630E-9
660.693E-3,153.580E-6,173.458E-9
676.083E-3,275.575E-6,310.826E-9
691.831E-3,501.040E-6,564.850E-9
707.946E-3,923.002E-6,1.04094E-6
724.436E-3,1.72208E-3,1.94491E-6
741.310E-3,3.25042E-3,3.68208E-6
758.578E-3,6.19146E-3,7.05339E-6
776.247E-3,11.8432E-3,13.6322E-6
794.328E-3,22.5417E-3,26.4368E-6
812.831E-3,42.0644E-3,50.9809E-6
831.764E-3,67.1764E-3,165.684E-6
851.138E-3,82.0643E-3,681.313E-6
870.964E-3,98.6482E-3,1.97051E-3
891.251E-3,118.850E-3,4.90163E-3
912.011E-3,142.352E-3,11.1663E-3
933.254E-3,166.947E-3,23.7405E-3
954.993E-3,189.428E-3,46.8538E-3
977.237E-3,207.002E-3,84.7643E-3
1.00000,219.946E-3,139.369E-3
1.02329,229.637E-3,209.932E-3
1.04713,237.476E-3,294.339E-3
1.07152,244.368E-3,390.351E-3
1.09648,250.859E-3,496.079E-3
1.12202,257.275E-3,610.055E-3
1.14815,263.818E-3,731.165E-3
1.17490,270.619E-3,858.568E-3
1.20226,277.768E-3,991.614E-3
1.23027,285.328E-3,1.12980
1.25893,293.350E-3,1.27272
1.28825,301.874E-3,1.42003
1.31826,310.933E-3,1.57147
1.34896,320.554E-3,1.72680
1.38038,330.756E-3,1.88580
1.41254,341.553E-3,2.04830
1.44544,352.952E-3,2.21411
1.47911,364.947E-3,2.38309
1.50000,372.549E-3,2.48751
