Ic,Noise_1Hz,Noise_1kHz
1.95242e-06,1.5212996128157932e-08,1.5212949609526754e-08
2.45e-06,1.3580707157680254e-08,1.3580633407098598e-08
3.07419e-06,1.2123993371041118e-08,1.212387646278836e-08
3.85705e-06,1.0824090304938967e-08,1.0823905019431377e-08
4.83871e-06,9.664201259871488e-09,9.663907675641687e-09
6.06932e-06,8.62935701356843e-09,8.628891974045035e-09
7.61157e-06,7.706174039321536e-09,7.705437687220825e-09
9.54371e-06,6.882736417537114e-09,6.881570989257705e-09
1.19635e-05,6.148399849481069e-09,6.146556269972276e-09
1.49929e-05,5.493728404087191e-09,5.490813795349158e-09
1.87842e-05,4.9103668905579295e-09,4.9057621084794025e-09
2.35277e-05,4.390985498910203e-09,4.38371578387445e-09
2.94616e-05,3.9292547716820095e-09,3.9177871695177285e-09
3.6884e-05,3.5199140966684012e-09,3.5018418594433802e-09
4.61691e-05,3.158838573436762e-09,3.130392032946308e-09
5.77869e-05,2.8432607798554983e-09,2.7985598784291507e-09
7.2329e-05,2.5720712073538554e-09,2.50200858772858e-09
9.05401e-05,2.346263311299372e-09,2.2369067119135028e-09
0.000113359,2.1693927616624527e-09,1.9998657734275044e-09
0.000141967,2.047865692476888e-09,1.7879141251135599e-09
0.000177854,1.99054891551686e-09,1.5984229614798384e-09
0.000222899,2.0073925615251563e-09,1.4290779004228826e-09
0.000279471,2.1073618270118528e-09,1.2778528856377666e-09
0.000350559,2.2970561708767246e-09,1.1429842841430354e-09
0.000439941,2.5812372194521857e-09,1.0229568387613853e-09
0.000552396,2.964855235302337e-09,9.165154890693017e-10
0.000693976,3.455211632905447e-09,8.22692848329018e-10
0.000872375,4.063503614482327e-09,7.40853565903538e-10
0.00109739,4.805676209193786e-09,6.707859145682194e-10
0.00138155,5.703077279411224e-09,6.128125984330512e-10
0.00174096,6.7831895829323915e-09,5.679166236579996e-10
0.00219656,8.0809498559599e-09,5.378140471354342e-10
0.00279376,9.687305832273295e-09,5.248077480531888e-10
0.0039429,1.2555500648807888e-08,5.43237885852688e-10
0.00547394,1.6055055478163676e-08,6.058949686248001e-10
0.00705138,1.938767523233136e-08,6.860860954147723e-10
0.00854729,2.2354847291420794e-08,7.661767861768483e-10
0.00974913,2.4627985167692002e-08,8.307853252512382e-10
0.010612,2.6207382860641508e-08,8.767986821217225e-10
0.0112415,2.73344393327691e-08,9.10064816217946e-10
0.0117563,2.824135902671083e-08,9.37050370752308e-10
0.0121358,2.890180140355974e-08,9.568086380493132e-10
0.0121974,2.900837189065678e-08,9.600046489908345e-10
0.0121674,2.8956492456617353e-08,9.584485424919168e-10
0.0120985,2.8837185985853718e-08,9.54871866949142e-10
0.0120034,2.867215119126046e-08,9.499287017507677e-10
0.011902,2.8495719089000583e-08,9.446499276777342e-10
0.0118294,2.8369101102847362e-08,9.408653259374742e-10
0.0117517,2.8233312040622435e-08,9.368101619315814e-10
0.0116624,2.807689520056095e-08,9.321436356581334e-10
0.0115591,2.7895477909626762e-08,9.26737640126721e-10
