time (s),/vindiff1 (V)
0.00000,-14.9118E-3
4.00000E-9,-14.9118E-3
12.0000E-9,-14.9118E-3
28.0000E-9,-14.9118E-3
60.0000E-9,-14.9118E-3
100.000E-9,-14.9118E-3
140.000E-9,-14.9118E-3
180.000E-9,-14.9118E-3
220.000E-9,-14.9118E-3
260.000E-9,-14.9118E-3
300.000E-9,-14.9118E-3
340.000E-9,-14.9118E-3
380.000E-9,-14.9118E-3
420.000E-9,-14.9118E-3
460.000E-9,-14.9118E-3
500.000E-9,-14.9118E-3
500.612E-9,-13.4722E-3
501.237E-9,-11.7704E-3
501.559E-9,-10.8534E-3
501.899E-9,-9.88404E-3
502.312E-9,-8.70564E-3
503.127E-9,-6.37890E-3
504.143E-9,-3.46762E-3
505.222E-9,-361.558E-6
506.360E-9,2.92157E-3
507.529E-9,6.30791E-3
508.707E-9,9.73332E-3
509.354E-9,11.6175E-3
510.000E-9,13.5054E-3
510.157E-9,13.7163E-3
510.314E-9,13.8378E-3
510.627E-9,13.9330E-3
510.873E-9,13.9564E-3
511.103E-9,13.9724E-3
511.401E-9,13.9963E-3
511.871E-9,14.0360E-3
512.723E-9,14.1017E-3
513.736E-9,14.1696E-3
514.820E-9,14.2337E-3
516.026E-9,14.2977E-3
517.354E-9,14.3610E-3
518.794E-9,14.4223E-3
520.323E-9,14.4800E-3
521.930E-9,14.5334E-3
523.654E-9,14.5835E-3
525.501E-9,14.6298E-3
527.478E-9,14.6722E-3
529.574E-9,14.7103E-3
531.779E-9,14.7439E-3
534.107E-9,14.7733E-3
536.571E-9,14.7989E-3
539.190E-9,14.8210E-3
541.997E-9,14.8400E-3
545.020E-9,14.8560E-3
548.294E-9,14.8694E-3
551.863E-9,14.8804E-3
555.776E-9,14.8893E-3
560.092E-9,14.8963E-3
563.521E-9,14.9002E-3
568.710E-9,14.9044E-3
573.379E-9,14.9069E-3
578.255E-9,14.9086E-3
584.172E-9,14.9099E-3
591.337E-9,14.9109E-3
600.247E-9,14.9114E-3
611.934E-9,14.9118E-3
627.970E-9,14.9119E-3
649.448E-9,14.9119E-3
680.407E-9,14.9118E-3
720.407E-9,14.9118E-3
760.407E-9,14.9118E-3
800.407E-9,14.9118E-3
840.407E-9,14.9118E-3
880.407E-9,14.9118E-3
920.407E-9,14.9118E-3
960.407E-9,14.9118E-3
1.00041E-6,14.9118E-3
1.04041E-6,14.9118E-3
1.08041E-6,14.9118E-3
1.12041E-6,14.9118E-3
1.16041E-6,14.9118E-3
1.20041E-6,14.9118E-3
1.24041E-6,14.9118E-3
1.28041E-6,14.9118E-3
1.32041E-6,14.9118E-3
1.36041E-6,14.9118E-3
1.40041E-6,14.9118E-3
1.44041E-6,14.9118E-3
1.48041E-6,14.9118E-3
1.51000E-6,14.9118E-3
1.51067E-6,13.3194E-3
1.51145E-6,11.1622E-3
1.51191E-6,9.84517E-3
1.51238E-6,8.52150E-3
1.51299E-6,6.76769E-3
1.51422E-6,3.25002E-3
1.51550E-6,-452.981E-6
1.51680E-6,-4.20188E-3
1.51814E-6,-8.09325E-3
1.51907E-6,-10.7953E-3
1.52000E-6,-13.5051E-3
1.52018E-6,-13.7310E-3
1.52036E-6,-13.8543E-3
1.52073E-6,-13.9456E-3
1.52099E-6,-13.9664E-3
1.52124E-6,-13.9839E-3
1.52158E-6,-14.0112E-3
1.52217E-6,-14.0597E-3
1.52324E-6,-14.1374E-3
1.52441E-6,-14.2106E-3
1.52572E-6,-14.2823E-3
1.52718E-6,-14.3535E-3
1.52878E-6,-14.4223E-3
1.53050E-6,-14.4868E-3
1.53232E-6,-14.5458E-3
1.53422E-6,-14.5989E-3
1.53620E-6,-14.6462E-3
1.53829E-6,-14.6882E-3
1.54048E-6,-14.7253E-3
1.54280E-6,-14.7579E-3
1.54526E-6,-14.7863E-3
1.54788E-6,-14.8108E-3
1.55067E-6,-14.8318E-3
1.55367E-6,-14.8496E-3
1.55690E-6,-14.8644E-3
1.56041E-6,-14.8765E-3
1.56422E-6,-14.8863E-3
1.56841E-6,-14.8940E-3
1.57167E-6,-14.8983E-3
1.57665E-6,-14.9030E-3
1.58104E-6,-14.9058E-3
1.58556E-6,-14.9078E-3
1.59100E-6,-14.9093E-3
1.59749E-6,-14.9104E-3
1.60540E-6,-14.9112E-3
1.61554E-6,-14.9116E-3
1.62920E-6,-14.9118E-3
1.64757E-6,-14.9119E-3
1.67210E-6,-14.9118E-3
1.70635E-6,-14.9118E-3
1.74635E-6,-14.9118E-3
1.78635E-6,-14.9118E-3
1.82635E-6,-14.9118E-3
1.86635E-6,-14.9118E-3
1.90635E-6,-14.9118E-3
1.94635E-6,-14.9118E-3
1.98635E-6,-14.9118E-3
2.02635E-6,-14.9118E-3
2.06635E-6,-14.9118E-3
2.10635E-6,-14.9118E-3
2.14635E-6,-14.9118E-3
2.18635E-6,-14.9118E-3
2.22635E-6,-14.9118E-3
2.26635E-6,-14.9118E-3
2.30635E-6,-14.9118E-3
2.34635E-6,-14.9118E-3
2.38635E-6,-14.9118E-3
2.42635E-6,-14.9118E-3
2.46635E-6,-14.9118E-3
2.50000E-6,-14.9118E-3
2.50076E-6,-13.0749E-3
2.50162E-6,-10.6942E-3
2.50212E-6,-9.24444E-3
2.50263E-6,-7.80877E-3
2.50332E-6,-5.83290E-3
2.50470E-6,-1.86828E-3
2.50601E-6,1.90437E-3
2.50731E-6,5.68541E-3
2.50866E-6,9.59424E-3
2.50933E-6,11.5481E-3
2.51000E-6,13.5059E-3
2.51017E-6,13.7241E-3
2.51033E-6,13.8447E-3
2.51066E-6,13.9378E-3
2.51092E-6,13.9615E-3
2.51117E-6,13.9786E-3
2.51149E-6,14.0045E-3
2.51201E-6,14.0480E-3
2.51295E-6,14.1181E-3
2.51409E-6,14.1919E-3
2.51536E-6,14.2638E-3
2.51679E-6,14.3353E-3
2.51835E-6,14.4048E-3
2.52005E-6,14.4705E-3
2.52184E-6,14.5309E-3
2.52371E-6,14.5854E-3
2.52567E-6,14.6342E-3
2.52773E-6,14.6775E-3
2.52989E-6,14.7158E-3
2.53217E-6,14.7496E-3
2.53459E-6,14.7791E-3
2.53716E-6,14.8046E-3
2.53991E-6,14.8265E-3
2.54285E-6,14.8451E-3
2.54602E-6,14.8607E-3
2.54945E-6,14.8735E-3
2.55318E-6,14.8839E-3
2.55726E-6,14.8921E-3
2.56040E-6,14.8967E-3
2.56522E-6,14.9018E-3
2.56942E-6,14.9049E-3
2.57369E-6,14.9070E-3
2.57880E-6,14.9088E-3
2.58483E-6,14.9100E-3
2.59209E-6,14.9109E-3
2.60122E-6,14.9115E-3
2.61325E-6,14.9118E-3
2.62969E-6,14.9119E-3
2.65179E-6,14.9119E-3
2.68388E-6,14.9118E-3
2.72388E-6,14.9118E-3
2.76388E-6,14.9118E-3
2.80388E-6,14.9118E-3
2.84388E-6,14.9118E-3
2.88388E-6,14.9118E-3
2.92388E-6,14.9118E-3
2.96388E-6,14.9118E-3
3.00388E-6,14.9118E-3
3.04388E-6,14.9118E-3
3.08388E-6,14.9118E-3
3.12388E-6,14.9118E-3
3.16388E-6,14.9118E-3
3.20388E-6,14.9118E-3
3.24388E-6,14.9118E-3
3.28388E-6,14.9118E-3
3.32388E-6,14.9118E-3
3.36388E-6,14.9118E-3
3.40388E-6,14.9118E-3
3.44388E-6,14.9118E-3
3.47694E-6,14.9118E-3
3.51000E-6,14.9118E-3
3.51073E-6,13.1519E-3
3.51155E-6,10.8786E-3
3.51206E-6,9.42063E-3
3.51257E-6,7.96899E-3
3.51325E-6,6.01413E-3
3.51462E-6,2.09180E-3
3.51593E-6,-1.68306E-3
3.51724E-6,-5.47033E-3
3.51859E-6,-9.38145E-3
3.51929E-6,-11.4412E-3
3.52000E-6,-13.5054E-3
3.52017E-6,-13.7252E-3
3.52034E-6,-13.8451E-3
3.52067E-6,-13.9377E-3
3.52092E-6,-13.9606E-3
3.52116E-6,-13.9775E-3
3.52148E-6,-14.0033E-3
3.52201E-6,-14.0472E-3
3.52306E-6,-14.1257E-3
3.52422E-6,-14.1992E-3
3.52549E-6,-14.2708E-3
3.52693E-6,-14.3421E-3
3.52851E-6,-14.4113E-3
3.53021E-6,-14.4766E-3
3.53201E-6,-14.5366E-3
3.53390E-6,-14.5906E-3
3.53587E-6,-14.6388E-3
3.53794E-6,-14.6817E-3
3.54011E-6,-14.7196E-3
3.54241E-6,-14.7529E-3
3.54484E-6,-14.7819E-3
3.54744E-6,-14.8071E-3
3.55020E-6,-14.8286E-3
3.55317E-6,-14.8469E-3
3.55636E-6,-14.8621E-3
3.55981E-6,-14.8747E-3
3.56357E-6,-14.8848E-3
3.56770E-6,-14.8928E-3
3.57088E-6,-14.8973E-3
3.57577E-6,-14.9023E-3
3.58004E-6,-14.9053E-3
3.58442E-6,-14.9073E-3
3.58965E-6,-14.9090E-3
3.59586E-6,-14.9102E-3
3.60338E-6,-14.9110E-3
3.61290E-6,-14.9115E-3
3.62555E-6,-14.9118E-3
3.64273E-6,-14.9119E-3
3.66567E-6,-14.9119E-3
3.69706E-6,-14.9118E-3
3.73706E-6,-14.9118E-3
3.77706E-6,-14.9118E-3
3.81706E-6,-14.9118E-3
3.85706E-6,-14.9118E-3
3.89706E-6,-14.9118E-3
3.93706E-6,-14.9118E-3
3.96853E-6,-14.9118E-3
4.00000E-6,-14.9118E-3
